TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset;ALG,ELG,GHA,INZ;22.811501,5.45108
MZW,Mecheria Airport,Mecheria;ALG;33.5359,-0.242353
AAE,Rabah Bitat Airport,Annaba;ALG,CDG,IST,LYS,MRS,ORN,ORY,MRS,ORY;36.822201,7.809174
CZL,Mohamed Boudiaf International Airport,Constantine;ALG,AZR,CDG,GHA,HME,IST,LYS,MRS,NCE,ORN,ORY,LYS,MRS,ORY;36.276001,6.62039
TEE,Cheikh Larbi Tébessi Airport,Tebessa;ALG;35.431599,8.12072
HRM,Hassi R'Mel Airport,Tilrempt;ALG,HME;32.930401,3.31154
TID,Bou Chekif Airport,Tiaret;ALG;35.341099,1.46315
CFK,Ech Cheliff Airport,Ech-cheliff;MRS;36.2127,1.33177
TLM,Zenata – Messali El Hadj Airport,Tlemcen;ALG,LYS,MRS,ORY,MRS,ORY;35.016701,-1.45
ORN,Es Senia Airport,Oran;AAE,ALC,ALG,AZR,BCN,CBH,CDG,CMN,CZL,GHA,HME,IST,LIL,LYS,MRS,OGX,ORY,TLS,FCO,ALC,BCN,MAD,MED,IST,TUN,ALC,BCN,CDG,LIL,LYS,MRS,ORY,TLS;35.623901,-0.621183
MUW,Ghriss Airport,Ghriss;ALG,TID;35.207699,0.147142
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar;ALG,BMW,CZL,INZ,OGX,ORN;27.837601,-0.186414
BSK,Biskra Airport,Biskra;ALG,LYS,ORY,ORY;34.793301,5.73823
ELG,El Golea Airport,El Golea;OGX,TMR;30.571301,2.85959
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia;ALG,CZL,ORN,TMR;32.384102,3.79411
HME,Oued Irara Airport,Hassi Messaoud;ALG,CZL,HRM,IAM,ORN,LGW;31.673,6.14044
INZ,In Salah Airport,In Salah;ALG,TMR;27.250999,2.51202
TGR,Touggourt Sidi Madhi Airport,Touggourt;ALG;33.067799,6.08867
OGX,Ain el Beida Airport,Ouargla;ALG,AZR,ELG,IAM,ORN;31.9172,5.41278
IAM,In Aménas Airport,Zarzaitine;HME,OGX;28.0515,9.64291
COO,Cadjehoun Airport,Cotonou;LFW,OUA,ABJ,CDG,LOS,BSG,SSG,BKO,LBV,ABJ,BKO,DKR,DLA,LBV,ABJ,ABV,ADD,LFW,NIM,ABJ,ACC,LFW,NBO,ABJ,BKO,BZV,PNR,BZV,DLA,PNR,ABJ,BZV,LBV,PNR,DLA,PNR,ABJ,ABJ,DKR,DLA,LOS;6.35723,2.38435
OUA,Ouagadougou Airport,Ouagadougou;ABJ,ACC,BKO,BOY,COO,DKR,LFW,NIM,ABJ,BRU,CDG,NIM,ALG,CMN,NIM,NIM,BKO,NIM,ABJ,ADD,BKO,LFW,NIM,ABJ,NIM,ABJ,BRU,ABJ,BRU,IST,TUN,ABJ,BRU;12.3532,-1.51242
BOY,Bobo Dioulasso Airport,Bobo-dioulasso;ABJ,OUA;11.1601,-4.33097
